dataset,pipeline,fpr,tpr
sprot_5k,cablastp,0.000000,0.882653
sprot_5k,cablastp,0.000000,0.887755
sprot_5k,cablastp,0.000000,0.892857
sprot_5k,cablastp,0.000000,0.897959
sprot_5k,cablastp,0.000000,0.908163
sprot_5k,cablastp,0.000000,0.923469
sprot_5k,cablastp,0.000000,0.933673
sprot_5k,cablastp,0.000000,0.943878
sprot_5k,cablastp,0.000000,0.948980
sprot_5k,cablastp,0.000000,0.959184
sprot_5k,cablastp,0.000000,0.964286
sprot_5k,cablastp,0.000000,0.974490
sprot_5k,cablastp,0.000000,0.984694
sprot_5k,cablastp,0.000000,0.989796
sprot_5k,cablastp,0.000000,0.994898
sprot_5k,cablastp,1.000000,1.000000
